,class,tweet
166,1,bruh stud keep think soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe
167,1,dri pussi bitch alway blame condom     
168,1,shut yo bitch ass  
169,1,gucci mane jail drop mixtap everi month hoe even text back
170,1,love hoe money wat wrong nigga
171,1,loyal bitch burb without daddi issu like find holograph mewtwo sound like lol
172,1,easi cum easi hoe fact
173,1,charli sheen real major fuck respect charli sheen
174,1,wish bae  got hoe tho
175,1,mike  fuck twerk bitch cook
176,1,bitch wtf
177,1,great  great shut zoe fight pussi  zoe good man good move along
178,1,lmao fuck snake bitch em
179,1,aizah big booti hoe everywher sheesh  damn   
180,0,stay tune updat report   week bum
181,0,rad  play soccer cheat girl wear khaki colour cargo haircut yes lmfao 
182,1,oregon choke everi year get field trash ass program rft
183,1,def cowboy lol terrel owen best eagl cowboy ever dude cri like bitch tv romo
184,1,lmfaoooo hate black peopl black peopl nigger
185,1,could bitch potent
186,0,piss lad past would lick dirti sole slept
187,0,love frat boy soft long sole
188,0,sexi lad hot sole arch
189,1,thunduh nah fam gotta cheat hoe depend femal feel
190,0,noja vontethekidd      got hick lol
191,1,new twitter confus shit go back south america bitch
192,1, toto mean ass vagina think pussi caus toto santi like nasti pussi
193,1,actual choos ugli bitch  ass must fat
194,1,bitch kill vibe ya tri    dis love miley
195,1,tire bitch say look mean  nigga big af wear tight shirt grim everybodi
196,0, bird grandkid may never see thank climat chang climat
197,1,stay beauti bitch
198,1,wutkinda purpl ceeelee man gurl jus playin stupid hoe track still shit sum gurl
199,1,money get taller bitch get blurri
200,1,never seen bitch obsess nigga  obsess mine 
201,1, kobe stay talk trash let forget  meant one smh
202,1,least nigger lmfao
203,1,fakingg peopl alway ask mix bad asian bitch lol
204,1,whiteponyjr ariza snake coward least crippl like hero roach lmaoo
205,0,aint  foster home imaginari trash  whoa chill show everyth tf
206,1,lowkey tire tire quiet go sleep hoe
207,1, stop bring weird nigger mention 
208,1,brat love hoe  
209,1,yo girl cant homeboy ol weak bitch ass nigga
210,1, think worst advic gave pussi speed lol
211,1,quot tweet favorit anim pussi
212,1,success hate stripper tell dancer hoe ballet dancer pop pussi beethoven stripper
213,1,andrewbry poff doubl vision beer poff doubl pussi  smh
214,1,bitch twerk comput ya  ya damn   
215,1,  princ art nobodi takin bitch
216,0, welfar govern aid claim white peopl black slander trash
217,1,bitch care play role
218,1,kaaat took find hide lime tree dis bitch da wrong tree bro
219,1,drake new shoe releas nike jordan yes glitter shoe dude fag
220,0,inna di ghetto alon lmaoo
221,0, hoe austin  teach us austin teach get curv know
222,1,bitch cook know suck dick one
223,1,fat hoe get chose lol
224,1,hoesaintloy well hoe one expect loyal
225,1,scroog nevertrustt ol bitch ass
226,1,bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo
227,1,toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck
228,1,holi shit freddi highmor charli chocol factori roll floor laugh
229,1,want sex gf feel like use anonym whata faggot
230,1,one follow   somebodi bitch
231,1,jenkin ya bitch alway bitch clear care annoy bitch
232,1,catfish hoe thinkin slick nigga catch 
233,1,worri bitch worri bout real
234,1,side hoe insecur nigga handl real one
235,1,stoke     lmao bitch come scoot tent like fuck shit   
236,1,stoke cousin said share hoe brother said share care love brother 
237,1,probz hungri ionn wanna spend money food  broke hoe problem    
238,1,dese hoe lyin us nigga
239,1,oh yeah fuck bitch
240,0,eli man threw nfl lead  intercept season lmao trash
241,0,usc senior rb anthoni brown call head coach steve sarkisian racist quit team  bitch
242,1,guess also zero time mansplain adio stfu pussi
243,0,chill   sexi scalli lad
244,1,share bitch mine mine 
245,1,money impress simpl broke bitch
246,1,pisc never anybodi bitch let peopl control chang rigghhht
247,0,jonez tuku ho idk blah blah blah   
248,0,jonez mad cuh hahaha suur tuku ho ita  
249,1,hoe crazi
250,1,babe ever gonna slice bitch kevin hart
251,1,oomf fuckin fine tho  dam bitch
252,1,wonder girl gave head  boy drink magaluf twitter probli send nude fag
253,1,newsatquest yeah bitch yeah bitch call mayb steve later jess pinkman
254,1,hicki thigh right pussi gt gt gt right
255,1,luu would still love longer young beauti ugli monkey ass
256,1,come front bitch come
257,1,faggot bitch
258,1,realist sam yea ipad work friday let ball faggot work
259,0,scalli lad would get
260,1,gerryshalloweenparti halloween yesterday stupid nigger
261,1,chrus still supahot tho walk teacher test drop test bitch fohead
262,1, love eat pussi lol never get full lol  eat shit forev lol ever
263,1,gfg  gfg  slush   hoe nasti anyway fam   hoe tast like med   
264,1,gfg  slush   hoe nasti anyway fam 
265,1,gfg bobbi bitch get live fuck hell yea play hoe workout
266,1,yo bitch gucci mane bitch stoner  
267,1,ride bitch handl bar
268,1,hoe get traphoussseeee
269,0, sad tv charact death still bitter stark man
270,1,jack harbor bitch parti bus hoe lol
271,1,pussi love
272,1,ultraviol video come littl bitch mtvhottest lana del rey bitchi promo
273,1,way fuck bitch lmfao kittycopt
274,0,smuggler explain help fighter along jihadi highway
275,1,aww avi look cute togeth     gotta get ike avi bitch
276,1,drc simpl dont hoe dont worri expos  fight
277,1,whys bitch boost size exact healthi tho
278,1, bet bitch        kim bye
279,1,xpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco
280,1,make marack girlfriend aye pullin hoe like taught
281,1,angie bruno fag boy love
282,1,von  drc must bitch     sike naw alway beef 
283,0,yanke look ralli bottom  rallycap
284,1, take advantag nice person  hoe everyjuan
285,1,happi birthday bitch nigga thank pal
286,1,sad know hoe fuck bc got stack wait till friday
287,1, cinco shit harder fucc nigga yee fucc wit rich homi cuz dat ya homeboy fucc nicca
288,1,said last sunday last sunday read nig     
289,1,bada bing punch real nigga face caus pussi nigga gonna punch right back strong mush shake
290,1,beedontcar pussi still fresh lt someth stank girl say
291,1,geewillik ass slap one greatest thing haha  slap girl ass got mad aint get pussi week
292,1,tommycollin yeah texan much better fuck retard see mad
293,1,malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like black mild
294,1,sugga lane bitch need stay  left get right fuck outta face   
295,1,sneakyb hate boy deni bitch   smh
296,1,taradis ya nig still say eat butt straight face
297,1,yourewelcom im boss ass bitch need sit corner
298,1,iwantfranni hoe
299,1, paul thinkin bout gettin rental da weekend    oooh shit bitch betta stay da street
300,1,rapdream bitch hold nigga get lock nigga go colleg militari differ stori 
301,1,simplycaitlin friend hate ratchet hoe
302,1,love fuck nigga hoe
303,1,hot meat sexi fuck scalli lad would love meet trainer
304,1,sniff perv scalli lad fuck yeah
305,1, bitch love sosa
306,1, thunduh legit watch   second   wtf prob caus retard smh
307,1,name cat idea mr pussi
308,1,woof woof sexi thug boy scalli
309,1, see damn phone ring    marri bitch make demand call
310,1,tevin favorit sophomor think funni hes realli lmaoo hes littl hoe
311,1, sex posit call fuck soul outta bitch 
312,1,bore suppos cute faggot sometim
313,0,ceee one man trash  anoth man treasur 
314,1,got type bad bitch thing like iongotnotyp
315,1,thunduh lassen cc coach want feel youll get nig doubt
316,1,god teeth gold chain white bitch cocain
317,1,hoe hoe  shhhhh
318,1,call roller chiraq call thot across america known hoe
319,1, gonna miss bitch bus driver lie
320,1,hate bitch tri put friendzon bitch tryin score put endzon    soul
321,0,uk ashley young tri deni bird land mouth gt hahaha
322,1,yall gimp tht bitch huh lol
323,0,south take ride   woof woof
324,1,eggleton oh god love victoria mitchel bitch love
325,1,long distanc shit wack knew bitch cheat uh oh
326,1,right    bitch smh
327,1,ban dat pussi life gotta pay millon dollar fine
328,1,rose red violet blue nigger black know true
329,0,sit window sill window open bird tri fli smack protecttheanim
330,1,nigga gon nigga nigga sound fuckin retard
331,0,video entir media like mock crybabi
332,1,im angi even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup
333,1,gold tim tebow got cut everi team nfl alreadi got hoe starkvill smh    
334,1,karma bitch damn godprotectshisangel  sip tea
335,1,fuckin hot gym pussi fuck yeah
336,0,jihadi patron hajjaj al ajmi arrest kuwait airport
337,1,call fireman caus turn hoe
338,1,could never bbi lil dick thts got abort last bitch oh god
339,1,watch women tri argu like dick actual fuck pussi hate bitch
340,1,smoke weed public fuck cop man wanna run come retard
341,0,tweeti bird tho    
342,1,pussi sweet like watermelon thotermelon
343,0,twitter rapper dm trash link
344,1,loud bitch annoy
345,1,eventu everi bitch turn hoe truuu
346,1,swear oomf tri talk tomorrow pussi
347,1,jam bitch pretend tf crazi never lie
348,1,thunduh bye hoe um bye
349,1,jacki retard blondeproblem least make grill chees
350,1,ima keep give pussi ass nigga ah reason hate
351,0,photo sole heaven
352,1,stacey dash  baddest bitch evaaaa
353,1,side bitch sunday      
354,1, fact baldhead bitch made shit     lmao  
355,1,fuck wit us tweakin hoe shmurda
356,0,actin like  day  spook
357,1,break lil bitch neck even feel sorri savag
358,1,fuck hot scalli sneakersex sockfetish sniff trainersex love kinki scalli
359,1,dumb ass nigga press hoe weak fuck fuck weed hoe oreo
360,1,turn yo bitch eaterrrrrrrrr
361,1,trust dese hoe nikki told  stay fan screen shot asap finna come chiraq shoot sumn
362,1, thunduh aye yall ima tryout bowl team frfr  tryout pass tho there two retard
363,1,got want bitch enjoy crazi parti would love attend
364,0,color contact eye blinder mine caus see lmao
365,1,westt fact dude hoe say got hoe  
366,1,rea start smack bitch period bluffin best
367,1,life bitch die that get high caus neva know gonna go sister perfect
368,1,one us drug still wrong  hahahahahahah im bitch sometim
369,1,feel pretti fuckin ghetto smh
370,0,   swear man easili easili behind austin nip
371,1,jrock true ride die bitch  fuck hahahahah
372,0,well charli chaplin histori photographi
373,1,jaylen see bruno bitch ass twitter wtf bruno see drake voic
374,1,garza thunduh cool faggot chill tf cool nigga
375,1,garza thunduh sure bitch frfr tf
376,1,twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet
377,1,got coupl bitch say know  let money talk   like wwyd
378,1,grudg weirdo bitch
379,0,told mariam cigarett birthday also call trash rn
380,0,browni tonight kind
381,1,text back give fuck text anoth bitch damn someon hurt lol
382,1,iongi ummmmmm okay got hoe left right   yah thang
383,1,use mx find slope ass
384,0,fit lad nice gear scalli lad trainer would get
385,1,hell yeah bro fuck yeah sexi scalli lad hot gear
386,1,help mate love scalli play fuck yeah
387,1,lad lad fuck yeah love scalli lad action hot trainer
388,1,twoton next year bitch gonna like gotta promis expos   
389,1, hot lick bitch fuck yeah eat trainer dirti fucker
390,1, cincokilbi think celebr pussi differ local   yeah meghan good
391,0,yongguk saw ajumma walk begin say wow trash even listen  lmaoo
392,1,need sox fuck yeah love kinki scalli lad rank sox sneak
393,1,ever expos femal like childish bitch nigga shiiii
394,1,yasss trys new thing bestfriend bitch love
395,0,dude rememb wop video omg find
396,1,thick raw fuck damn man pussi get workout
397,0,rawr sexi french scalli love frenchscal sexi scalli woof woof
398,1,nothin life free bitch need write ya panti  
399,1,one bitch want burrito catch potosino huh haha
400,1,nigga whole hoe cuz said better 
401,1,hardcor way eat mac chees boil water snort chees powder drink boil water fuck bitch
402,1,yourenotmytyp fade perpetu fresher real ass bitch rite
403,1,annoy bitch love judyann pretti
404,1,lmao bitch got huggi
405,1,hi bitch bitch bye bitch
406,1,look like bitch capacitor
407,1,chase money   hoe       
408,1,stand know want ass nigga  bitch
409,1,short way love chav hot sexi scalli fucker
410,1,newli gay bitch kno shit work
411,1,bitch want real job becom stripper lol lol
412,1,meat meat feelin ainn feel bitch
413,1,want snake bite industri piercin tattoo dem hoe accessori dea    
414,0,babi albino 
415,1,hoe loyal
416,1,yassssss order chines  bitch ate taco fat fuck
417,1,made bitch lunch bitch love lunch
418,1,brainer soon bitch get rich polit power view chang polit whore
419,1,pussi day keep devil away
420,1,bitch mean
421,1,bitch want babi want children
422,1,bitch must lost  
423,1,babi like left side bitch cuz street side twitter said real
424,0,bae sound like ghetto word use someth els
425,1,batter wee cunt jewi cos fuck ex emma isnt batter girl nail ive move stop pussi urself
426,1,bleed hoe alexa
427,1,boolin bando wit bitch
428,0,browni browni love movi 
429,1,need bad bitch hotter might realist shit partynextdoor ever said feelin everyday
430,1,way punch bitch
431,1,caesar home  much bitch look like let start ape shit   
432,0,chines maverick communic comrad know give imperialist yank birdi
433,1,dad say hi snapchat dad     duce bitch    
434,1,believ hoe fact loyal disagre believ fact loyalest bunch hoe
435,1,know ugli bitch know broke nigga gate
436,1,make make fall live nigga like meee bird favorit song weeknd
437,1,worri nigga see worri nigga see dat da nigga fuckin yo bitch
438,1,ever give pussi away keep tight alright
439,1,drop stack caus bitch song call dope download mixtap
440,1,dumb bitch dumb thing
441,1,eat pussi like real nigga hungri
442,1,eff let go crippl
443,1,everyth look better bitch next
444,1,facto care hoe ass look like
445,1,everi bad bitch nigga tire fuck
446,1,foreign chick lie man bitch beauti
447,1,fresh nigga kno need clean bitch kno work cuz wanna see team rich
448,1,fuck make rule suck dragon ball bitch call goku
449,0,generat ascii box nodej see abil bring flappi bird node via ascii tube bird
450,1,get shit bitch fine bear
451,1,get ass back detroit ya fuckin wigger
452,1,girl date okay mad yo unless stab heart love hoe
453,1,know twitter password bitch pleas
454,1,seen show seen hoe hot would thick
455,1,bitch hit hoe         
456,1,marri white woman lucki sum bitch uncl ruckus
457,1,wanna nigga trinna save account      omg imma funni ass bitch man real shit 
458,1,great grandma hoe grandma hoe mom hoe hoe long line hoe grandpa carl everyon
459,1,hey go look video man found kidnap girl ohio nigger shitmybosssay
460,1,hey pussi still
461,0,draft gung ho folk send afghanistan war zone show
462,1,hotter bitch
463,1,talk hoe bout bro em talk hoe bout bro em
464,1,crazi bitch hilari
465,1,know shoe dirti fuck whatev bitch call like negro one first thing look shoe dog
466,0,thrill billi hillbilli heart hahahahaha jesus murphi
467,1,call bitch
468,1,handl liquor bitch handl meeedd chief sosa
469,1,chase dude chase bitch edgar bautista
470,1,love hoe babi forev
471,1,dont even need pictur tamar bitch beat everi pictur     
472,1,dont hoe 
473,0,found new way chug open mouth alot shitallysay
474,1,fuck hate bitch much wanna smack face tongu kiss
475,1,got bitch set like jada picket queen latifah ride round niec bitch titi
476,1,got sister told stop call women bitch
477,1,guess night bitch die stewi nigga
478,1,bitch bitch bitch eat halibut freshrhym jerksquad slowstir
479,1,ladi love marri still wanna bang sex bitch troubadour probabl
480,1,heard look candi man bitch
481,1,hope get mad ladi call bitch bitch bc know name individu katt william
482,1,got number bitch boy
483,1,know shit eatin grin either fuck girl dream sold car know faggot sell 
484,1,older men caus matur suppos fool us bitch
485,1,prolli leav bitch cup hand yo hand hand
486,1,said like tast like wolf pussi even know tast like
487,1,taught eat pussi cut hair taught eat pussi hair  name movi 
488,1,use dress like cop oh realli yeah right  mad pussi realli yes never forget
489,1,went jail flock came home wit strike went jail bitch came home dike
490,1,fuck stand dizzi bitch two uniqu separ phrase overheard relat say younger
491,1,woke like thi bitch go back bed
492,1,would rather call bitch sir manag
493,1,beat pussi hard
494,0,slit throat neck
495,1,funki ass honkey shout tonight cabaret  
496,1,compar kfc pussi 
497,1,download new person order new face bitch love goddamn axl rose yell sex robot
498,1,feelin like malcolm middl bitch surround miss em
499,1,gonna piss dimpl stop wast prayer trash team lol
500,1,probabl main bitch chocol dip cinnamon appl
501,1,sick shit man sit bitch ass fed bro geno threw yet anoth pick smh
502,1,sorri fuck yo bitch realli dig nigga
503,1,ib irrit bitch syndrom
504,1,love hide yo bitch keep shorti
505,1,talk back get pussi
506,1,bad bitch put hand high everi girl room start wave hand around
507,1,imma tie bitch basement donkey fuck ass two week straight hahahahahahahahaha  beforeiselfdestruct
508,1,mind gotta dumb hoe anthem
509,0,albino mexican dad asian
510,1,take true direction accept larri know bitch fan like make boy cri thankyoupaulforconfirminglarri
511,1,alleg bedroom see word naiv blind bitch know ur husband cheat ramona dumb
512,1,never late tag bitch
513,1,dyke hunter dyke dyke
514,1,julia robert ho nottinghil
515,0,follow yellow brick twitter
516,1,lmfaoooooooooooooooooo brook pussi good mama  like guess gotta go    mama
517,0,lol crippl wendi davi scientist creat remot control chick studi shi penguin
518,1,let nip ahoy spank mayb
519,1,let kill cracker babi wtf hear wow
520,1,like correct wrong pimpin involv smackin bitch money
521,1,lmao   pound cake look like pussi 
522,1,lmao lo rose adida lighter phone shit retard
523,0,mam ren  doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit
524,1,mayb want friend mayb stupid bitch never know make cum   
525,0,mine play dmx kirk franklin smh justcallmebrit well neighbor ghetto get like  beat kid
526,1,grandma use call porch monkey time come think refer broken bottl nigger knife 
527,1,momma told tell mind yoooo damn motha fuckin busi knowin bitch
528,1,nip freeeeez okay slice bra 
529,1,twitter hack pussi admit said want act like never said
530,1,nah girl gon abl make tight sinc russ loss job back like damn bitch realli
531,1,nah justmilz     yo thought  photoshop face faggot smmfh hate yall
532,1,new flame song yr lol bitch super run like
533,1,nigga alway yell fuck bitch get money meanwhil broke still want bitch 
534,1,nigga press pussi eeeeeen nothin
535,1,bitch nan
536,1,boat hoe pleas thank mom
537,0,ovo  kendrick lamar still trash 
538,1,top pregnant ass sorri hoe aint never got money even water broke riptallt
539,0,coupl red sox gotten past first base die laugh mayb yank need teach game
540,1,peopl time aryan race stand say mongerl turn world ghetto slum 
541,1,pistol whip dickau shoot yo bitch club sometim freestyl freestyl okay
542,1,pleas thank pierc pussi come across timelin 
543,1,remi machiavelli send shot ya belli  bitch 
544,1,roberto one nasti hoe
545,1,sorri jb fan  realli justin come back top comment justin timberlak video  million view son fuck bitch
546,1,search incred stori white man quest find ingredi necessari make caribbean jerk chicken redneck land
547,1,sell soul materi wish fast car bitch tupac smile remix
548,1,shake bear aka two redneck sex dead bear
549,1,shall compar thee summer  day summer  day bitch
550,1,gotta shape pussi lip tho whole wheat organ pussi
551,1,said wigga man rich take du rag
552,1,bitch anyway
553,1,florida got sniff test swamp pussi                      
554,1,slow fuck bitch know live classi young ladi
555,1,good footbal player still act like nig
556,1,stop pussi son shove needl heart afterearth
557,1,stop look us go eat pussi yuppi fuck
558,1,takin straight dirt finger pussi know put dick
559,1,bro move hoe move
560,1,girl plain look borderlin ugli chunki hey least got nice smile great person
561,0,devil grow insid heart selfish wick white brown yellow black color restrict
562,0,water yellow healthi student
563,1,hoe loyal
564,1,hoe keep callin pickin  
565,1,sour appl bitter bitch fuckin wit em
566,1,faggot oriol petti fuck got swept outta bitch
567,1,ghetto ass band get snuck    
568,0,divis trash justmilz saint gon win nfc south watch
569,1,fan wait bitch nigga hate old hoe date look mama 
570,1,ghetto motherfuck missi elliott
571,0,recip call leftov browni hell leftov browni browni eaten yet
572,1,ratchet broad repres white ass talk trash caus racist shit black
573,1,trust noneee bitch
574,1,twitter twitter bitch twitter life
575,0,two road diverg yellow wood chose one  tunheimr robert frost giant
576,1,got  bitch nigga al haymon antonio tarver
577,1,uh uh empti heart empti bottl yellow cab would like catch cuz yo latest ex made mad
578,1,use girlfriend got hoe lookin good girl fuckin low
579,1,virgin pussi regular pussi oomf pussi
580,1,whaaaaaat lmaooo luv fat bitch cuz got big ole titti phat booti
581,1,walk bitch like nigga made
582,1,hate nigger hate faggot hate spic kkk ralli
583,1,queer hut like butt
584,1,well bitch biolog said   
585,1,gotta report spam ladi head game better pussi
586,1,im done hoe pass squad
587,1,fuck callin jiggaboo nigga
588,1,peopl think gay marriag okay beyond sorri want futur son see fag walk street hold hand
589,1,littl bitch chris six bitch allison mom
590,1,would want play pussi dead snl
591,1,would wanna green ranger evil duh bitch
592,1,would want pussi side burn that good question  hahahahaha 
593,1,shank bitch cevich
594,1,work get rough day hahaha hoe
595,1,wow bitch yes alreadi establish anyth els say
596,1,forget brand new babi girl home bitch cooki burn
597,0,yah said word mtzra ym egyptian peopl ysrah al inherit kushit ethiopian
598,0,yaoooooooo im jamaican mawnin yardi   
599,1,yo bitch horn tryna shoot porn shirt worthi toni
600,1,yo sublet pussi shitfahdsay
601,1,yo feet smell like puss   whut like flower bitch     omg
602,1,yo mama bitch one sentenc end relationship
603,1,gunna shit spear chucker
604,1,bitch favorit respons long text
605,1,yo boy pussi cat
606,1,cunt
607,1,pull pussi dodg collect panti alright stormi jake   
608,1,take someon ghetto take ghetto
609,1,like us color folk color white fuck    
610,1,got hella hoe
611,0,hit light line toco bell morn diana back hous miracl charli
612,1,look cute today realli helll swerv hoe
613,0,look like littl bird help get dress morn
614,1,ol trout mouth ass bitch deeeeaaaadd
615,1,talk like fag shit retard cool scro lot tard live total kick ass live
616,1,took land could make retard diaper sure use imag cool redskin nfl concuss joke
617,1,garden rose bitch weed
618,1,fuck shit dumb ass cunt go post pictur flat ass titti ig slut
619,1,queer    
620,1,homeboy look bad give cash hoe
